bioguide_id,state,party,full_name,url,twitter,twitter_id,facebook,id.bioguide,social.twitter,social.facebook,social.youtube_id,social.twitter_id,social.youtube,social.instagram,social.instagram_id
C000127,WA,Democrat,Maria Cantwell,https://www.cantwell.senate.gov,SenatorCantwell,117501995.0,senatorcantwell,C000127,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
K000367,MN,Democrat,Amy Klobuchar,https://www.klobuchar.senate.gov,SenAmyKlobuchar,22044727.0,,K000367,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA,22044727,senatorklobuchar,,
S000033,VT,Independent,Bernard Sanders,https://www.sanders.senate.gov,SenSanders,29442313.0,senatorsanders,S000033,SenSanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,29442313,senatorsanders,,
W000802,RI,Democrat,Sheldon Whitehouse,https://www.whitehouse.senate.gov,SenWhitehouse,242555999.0,SenatorWhitehouse,W000802,SenWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,242555999,SenatorWhitehouse,SenWhitehouse,
B001261,WY,Republican,John Barrasso,https://www.barrasso.senate.gov,SenJohnBarrasso,202206694.0,johnbarrasso,B001261,SenJohnBarrasso,johnbarrasso,UC80PfiCAB2Fe1MFayWlR6GQ,202206694,barrassowyo,,
W000437,MS,Republican,Roger F. Wicker,https://www.wicker.senate.gov,SenatorWicker,264219447.0,SenatorWicker,W000437,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,264219447,SenatorWicker,senatorwicker,367948073.0
C001035,ME,Republican,Susan M. Collins,https://www.collins.senate.gov,SenatorCollins,19726613.0,susancollins,C001035,SenatorCollins,susancollins,UC6GYaBx5kT2r4PN8KENxC-w,19726613,SenatorSusanCollins,sensusancollins,
C001056,TX,Republican,John Cornyn,https://www.cornyn.senate.gov,JohnCornyn,13218102.0,sen.johncornyn,C001056,JohnCornyn,sen.johncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,13218102,senjohncornyn,,
D000563,IL,Democrat,Richard J. Durbin,https://www.durbin.senate.gov,SenatorDurbin,247334603.0,SenatorDurbin,D000563,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,247334603,SenatorDurbin,,
G000359,SC,Republican,Lindsey Graham,https://www.lgraham.senate.gov/public,GrahamBlog,14845376.0,USSenatorLindseyGraham,G000359,GrahamBlog,USSenatorLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,14845376,USSenLindseyGraham,,
M000355,KY,Republican,Mitch McConnell,https://www.mcconnell.senate.gov,McConnellPress,339822881.0,mitchmcconnell,M000355,McConnellPress,mitchmcconnell,,339822881,,mcconnellpress,
M001176,OR,Democrat,Jeff Merkley,https://www.merkley.senate.gov,SenJeffMerkley,29201047.0,jeffmerkley,M001176,SenJeffMerkley,jeffmerkley,UCRoXttCJhMnLVCxCaa6VnNQ,29201047,SenatorJeffMerkley,senjeffmerkley,501463589.0
R000122,RI,Democrat,Jack Reed,https://www.reed.senate.gov,SenJackReed,486694111.0,SenJackReed,R000122,SenJackReed,SenJackReed,UCT_aFVtsjxPwWKfO-PW_hPw,486694111,SenatorReed,,
R000584,ID,Republican,James E. Risch,https://www.risch.senate.gov,SenatorRisch,1096059529.0,senatorjimrisch,R000584,SenatorRisch,senatorjimrisch,UCncKW8xyT5UbPNO27YuQnBA,1096059529,SenatorJamesRisch,,
S001181,NH,Democrat,Jeanne Shaheen,https://www.shaheen.senate.gov,SenatorShaheen,109287731.0,SenatorShaheen,S001181,SenatorShaheen,SenatorShaheen,UCjLZAZMbDrybHyttdEC9LFA,109287731,senatorshaheen,senatorshaheen,
W000805,VA,Democrat,Mark R. Warner,https://www.warner.senate.gov,MarkWarner,7429102.0,MarkRWarner,W000805,MarkWarner,MarkRWarner,UCwyivNlEGf4sGd1oDLfY5jw,7429102,SenatorMarkWarner,senatorwarner,515327940.0
G000555,NY,Democrat,Kirsten E. Gillibrand,https://www.gillibrand.senate.gov,GillibrandNY,8.999786224166953e+17,SenKirstenGillibrand,G000555,GillibrandNY,SenKirstenGillibrand,UCVEloQogVsmnkd5vxJInmYg,899978622416695297,KirstenEGillibrand,senkirstengillibrand,
C001088,DE,Democrat,Christopher A. Coons,https://www.coons.senate.gov,ChrisCoons,15324851.0,senatorchriscoons,C001088,ChrisCoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,15324851,senatorchriscoons,senatorchriscoons,25194715.0
A000055,AL,Republican,Robert B. Aderholt,https://aderholt.house.gov,Robert_Aderholt,76452765.0,RobertAderholt,A000055,Robert_Aderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,76452765,RobertAderholt,,
