handle,user_data,timestamp,follower_count
GovDunleavy,"{""__typename"": ""User"", ""id"": ""VXNlcjoxMDYwNjU1NDcwMTc4Nzg3MzI4"", ""rest_id"": ""1060655470178787328"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1636802055556988935/HmbBV4EY_normal.jpg""}, ""core"": {""created_at"": ""Thu Nov 08 22:09:04 +0000 2018"", ""name"": ""Governor Mike Dunleavy"", ""screen_name"": ""GovDunleavy""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": true, ""default_profile_image"": false, ""description"": ""Alaska's 12th Governor"", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""Gov.Alaska.Gov"", ""expanded_url"": ""http://Gov.Alaska.Gov"", ""url"": ""https://t.co/eYa5ZKQ1iQ"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 323, ""followers_count"": 23865, ""friends_count"": 61, ""has_custom_timelines"": false, ""is_translator"": false, ""listed_count"": 384, ""media_count"": 895, ""normal_followers_count"": 23865, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1060655470178787328/1679078996"", ""profile_interstitial_type"": """", ""statuses_count"": 3277, ""translator_type"": ""none"", ""url"": ""https://t.co/eYa5ZKQ1iQ"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Alaska, USA""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""Alaska's 12th Governor""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""und"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1544132471291""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,23865.0
GovernorKayIvey,"{""__typename"": ""User"", ""id"": ""VXNlcjoxOTY2ODQ5MQ=="", ""rest_id"": ""19668491"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1616461196403658758/dBvkQ_1y_normal.jpg""}, ""core"": {""created_at"": ""Wed Jan 28 19:00:11 +0000 2009"", ""name"": ""Governor Kay Ivey"", ""screen_name"": ""GovernorKayIvey""}, ""dm_permissions"": {}, ""is_blue_verified"": false, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""54th Governor of Alabama"", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""governor.alabama.gov"", ""expanded_url"": ""http://governor.alabama.gov"", ""url"": ""https://t.co/nkODVXq4YZ"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 3524, ""followers_count"": 116061, ""friends_count"": 1209, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 1013, ""media_count"": 4326, ""normal_followers_count"": 116061, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/19668491/1692373064"", ""profile_interstitial_type"": """", ""statuses_count"": 9492, ""translator_type"": ""none"", ""url"": ""https://t.co/nkODVXq4YZ"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Montgomery, AL""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""54th Governor of Alabama""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1492011947323""}}, ""highlights_info"": {""can_highlight_tweets"": false, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,116061.0
SarahHuckabee,"{""__typename"": ""User"", ""id"": ""VXNlcjo1NTA5NzYy"", ""rest_id"": ""5509762"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1831796416835977216/7s_eTkD4_normal.jpg""}, ""core"": {""created_at"": ""Wed Apr 25 22:00:29 +0000 2007"", ""name"": ""Sarah Huckabee Sanders"", ""screen_name"": ""SarahHuckabee""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""Christian. Wife. Mom. Former White House press secretary. Governor of Arkansas."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""governor.arkansas.gov"", ""expanded_url"": ""http://www.governor.arkansas.gov"", ""url"": ""https://t.co/7eDD7rtVSP"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 3678, ""followers_count"": 2136179, ""friends_count"": 3263, ""has_custom_timelines"": false, ""is_translator"": false, ""listed_count"": 4037, ""media_count"": 1400, ""normal_followers_count"": 2136179, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/5509762/1725569284"", ""profile_interstitial_type"": """", ""statuses_count"": 7945, ""translator_type"": ""none"", ""url"": ""https://t.co/7eDD7rtVSP"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Little Rock, AR""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""Christian. Wife. Mom. Former White House press secretary. Governor of Arkansas.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1483769825653""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""1""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,2136179.0
GovernorHobbs,"{""__typename"": ""User"", ""id"": ""VXNlcjo4MzQxNjY2Nzc1NzkzMjEzNDU="", ""rest_id"": ""834166677579321345"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1620123654586769409/vOLRqVeQ_normal.jpg""}, ""core"": {""created_at"": ""Tue Feb 21 22:23:28 +0000 2017"", ""name"": ""Governor Katie Hobbs"", ""screen_name"": ""GovernorHobbs""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""Official Twitter page of Governor Katie Hobbs. 24th Governor of Arizona. Mom, wife, social worker, AFSCME Member."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""azgovernor.gov"", ""expanded_url"": ""https://azgovernor.gov/"", ""url"": ""https://t.co/FjkPwOoHE1"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 901, ""followers_count"": 72197, ""friends_count"": 348, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 693, ""media_count"": 2046, ""normal_followers_count"": 72197, ""pinned_tweet_ids_str"": [""1611161174216957952""], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/834166677579321345/1672680418"", ""profile_interstitial_type"": """", ""statuses_count"": 4578, ""translator_type"": ""none"", ""url"": ""https://t.co/FjkPwOoHE1"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Phoenix, AZ""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""Official Twitter page of Governor Katie Hobbs. 24th Governor of Arizona. Mom, wife, social worker, AFSCME Member.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1546885271155""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,72197.0
CAgovernor,"{""__typename"": ""User"", ""id"": ""VXNlcjozODM0OTE4NA=="", ""rest_id"": ""38349184"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1972136449912066048/nw3Hzht4_normal.jpg""}, ""core"": {""created_at"": ""Thu May 07 02:45:40 +0000 2009"", ""name"": ""Governor Gavin Newsom"", ""screen_name"": ""CAgovernor""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""Official Account for the Office of California Governor Gavin Newsom. Building a #CaliforniaForAll."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""linktr.ee/CAgovernor"", ""expanded_url"": ""http://linktr.ee/CAgovernor"", ""url"": ""https://t.co/yah9BIzUtI"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 1617, ""followers_count"": 655662, ""friends_count"": 622, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 3755, ""media_count"": 4924, ""normal_followers_count"": 655662, ""pinned_tweet_ids_str"": [""1997048969688764506""], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/38349184/1756000668"", ""profile_interstitial_type"": """", ""statuses_count"": 15913, ""translator_type"": ""none"", ""url"": ""https://t.co/yah9BIzUtI"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Sacramento, California""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""Official Account for the Office of California Governor Gavin Newsom. Building a #CaliforniaForAll.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": true, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1342192937664""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""136""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,655662.0
GovofCO,"{""__typename"": ""User"", ""id"": ""VXNlcjo3MjgzNDQyNzM2MjAzNDQ4MzI="", ""rest_id"": ""728344273620344832"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1803885826947821568/mfhDeqv5_normal.jpg""}, ""core"": {""created_at"": ""Thu May 05 22:03:01 +0000 2016"", ""name"": ""Governor Jared Polis"", ""screen_name"": ""GovofCO""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": true, ""default_profile_image"": false, ""description"": ""Governor of Colorado. Fighting for affordable health care, better education, an economy that works for everyone, and protecting our Colorado way of life."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""linktr.ee/govofco"", ""expanded_url"": ""https://linktr.ee/govofco"", ""url"": ""https://t.co/PgTcfmEMKS"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 1441, ""followers_count"": 188222, ""friends_count"": 1185, ""has_custom_timelines"": false, ""is_translator"": false, ""listed_count"": 1325, ""media_count"": 5873, ""normal_followers_count"": 188222, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/728344273620344832/1738088727"", ""profile_interstitial_type"": """", ""statuses_count"": 8274, ""translator_type"": ""none"", ""url"": ""https://t.co/PgTcfmEMKS"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Colorado, USA""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""Governor of Colorado. Fighting for affordable health care, better education, an economy that works for everyone, and protecting our Colorado way of life.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1506595287833""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,188222.0
GovNedLamont,"{""__typename"": ""User"", ""id"": ""VXNlcjoxMDc2MjkzOTAzNzIzMjMzMjgw"", ""rest_id"": ""1076293903723233280"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1392923884312154112/L21ICRl1_normal.jpg""}, ""core"": {""created_at"": ""Sat Dec 22 01:50:38 +0000 2018"", ""name"": ""Governor Ned Lamont"", ""screen_name"": ""GovNedLamont""}, ""dm_permissions"": {}, ""is_blue_verified"": false, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""89th Governor of Connecticut."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""ct.gov/governor"", ""expanded_url"": ""http://ct.gov/governor"", ""url"": ""https://t.co/pUlmAFpjBe"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 3065, ""followers_count"": 108329, ""friends_count"": 875, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 792, ""media_count"": 5426, ""normal_followers_count"": 108329, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1076293903723233280/1743010315"", ""profile_interstitial_type"": """", ""statuses_count"": 13306, ""translator_type"": ""none"", ""url"": ""https://t.co/pUlmAFpjBe"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Hartford, CT""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""89th Governor of Connecticut.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1547034671159""}}, ""highlights_info"": {""can_highlight_tweets"": false, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,108329.0
MattMeyerDE,"{""__typename"": ""User"", ""id"": ""VXNlcjo3MDg3ODgzOTY3NDgwNDYzMzY="", ""rest_id"": ""708788396748046336"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1881461763255754752/Wv9KZt1S_normal.jpg""}, ""core"": {""created_at"": ""Sat Mar 12 22:54:57 +0000 2016"", ""name"": ""Governor Matt Meyer"", ""screen_name"": ""MattMeyerDE""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": true, ""default_profile_image"": false, ""description"": ""Father | Husband to @LaurenMeyerDE | Former public school teacher and small business owner | 76th Governor of Delaware"", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""governor.delaware.gov"", ""expanded_url"": ""http://governor.delaware.gov"", ""url"": ""https://t.co/pjZKZ0j3TW"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 4880, ""followers_count"": 4982, ""friends_count"": 900, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 103, ""media_count"": 1201, ""normal_followers_count"": 4982, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/708788396748046336/1737471598"", ""profile_interstitial_type"": """", ""statuses_count"": 4645, ""translator_type"": ""none"", ""url"": ""https://t.co/pjZKZ0j3TW"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Delaware""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""professional"": {""rest_id"": ""1541199959470624769"", ""professional_type"": ""Creator"", ""category"": []}, ""profile_bio"": {""description"": ""Father | Husband to @LaurenMeyerDE | Former public school teacher and small business owner | 76th Governor of Delaware""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1749668402136""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""6""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,4982.0
GovRonDeSantis,"{""__typename"": ""User"", ""id"": ""VXNlcjoxMDU4ODA3ODY4"", ""rest_id"": ""1058807868"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1620515880856584192/v0rmmdSi_normal.jpg""}, ""core"": {""created_at"": ""Thu Jan 03 21:20:17 +0000 2013"", ""name"": ""Ron DeSantis"", ""screen_name"": ""GovRonDeSantis""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": false, ""default_profile_image"": false, ""description"": ""46th Governor of the great state of Florida."", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""flgov.com"", ""expanded_url"": ""https://www.flgov.com/"", ""url"": ""https://t.co/3mvGGwUz5m"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 147, ""followers_count"": 5992722, ""friends_count"": 1, ""has_custom_timelines"": false, ""is_translator"": false, ""listed_count"": 9076, ""media_count"": 3098, ""normal_followers_count"": 5992722, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1058807868/1675377690"", ""profile_interstitial_type"": """", ""statuses_count"": 8593, ""translator_type"": ""none"", ""url"": ""https://t.co/3mvGGwUz5m"", ""withheld_in_countries"": []}, ""location"": {""location"": """"}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""46th Governor of the great state of Florida.""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""legacy_extended_profile"": {}, ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1357740709844""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,5992722.0
GovKemp,"{""__typename"": ""User"", ""id"": ""VXNlcjoxMDY0NjU5OTAyMDcxODA4MDAw"", ""rest_id"": ""1064659902071808000"", ""affiliates_highlighted_label"": {}, ""avatar"": {""image_url"": ""https://pbs.twimg.com/profile_images/1858902709102837760/0_OL1F-X_normal.jpg""}, ""core"": {""created_at"": ""Mon Nov 19 23:21:15 +0000 2018"", ""name"": ""Governor Brian P. Kemp"", ""screen_name"": ""GovKemp""}, ""dm_permissions"": {}, ""is_blue_verified"": true, ""legacy"": {""default_profile"": true, ""default_profile_image"": false, ""description"": ""83rd Governor of Georgia"", ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""display_url"": ""gov.georgia.gov"", ""expanded_url"": ""http://gov.georgia.gov"", ""url"": ""https://t.co/EuUueY0iM0"", ""indices"": [0, 23]}]}}, ""fast_followers_count"": 0, ""favourites_count"": 1828, ""followers_count"": 160041, ""friends_count"": 205, ""has_custom_timelines"": true, ""is_translator"": false, ""listed_count"": 1018, ""media_count"": 2446, ""normal_followers_count"": 160041, ""pinned_tweet_ids_str"": [], ""possibly_sensitive"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1064659902071808000/1682426489"", ""profile_interstitial_type"": """", ""statuses_count"": 6330, ""translator_type"": ""none"", ""url"": ""https://t.co/EuUueY0iM0"", ""withheld_in_countries"": []}, ""location"": {""location"": ""Georgia, USA""}, ""media_permissions"": {}, ""parody_commentary_fan_label"": ""None"", ""profile_image_shape"": ""Circle"", ""profile_bio"": {""description"": ""83rd Governor of Georgia""}, ""privacy"": {""protected"": false}, ""relationship_perspectives"": {}, ""tipjar_settings"": {""is_enabled"": false, ""bandcamp_handle"": """", ""bitcoin_handle"": """", ""cash_app_handle"": """", ""ethereum_handle"": """", ""gofundme_handle"": """", ""patreon_handle"": """", ""pay_pal_handle"": """", ""venmo_handle"": """"}, ""verification"": {""verified"": false, ""verified_type"": ""Government""}, ""profile_description_language"": ""en"", ""is_profile_translatable"": false, ""has_hidden_subscriptions_on_profile"": false, ""verification_info"": {""is_identity_verified"": false, ""reason"": {""description"": {""text"": ""This account is verified because it is a government or multilateral organization account.  Learn more"", ""entities"": [{""from_index"": 91, ""to_index"": 101, ""ref"": {""url"": ""https://help.twitter.com/en/rules-and-policies/profile-labels"", ""url_type"": ""ExternalUrl""}}]}, ""verified_since_msec"": ""1547487692735""}}, ""highlights_info"": {""can_highlight_tweets"": true, ""highlighted_tweets"": ""0""}, ""user_seed_tweet_count"": 0, ""business_account"": {}, ""creator_subscriptions_count"": 0}",,160041.0
